项目,附注四,2023年度,2022年度
银行现金流量表,,,
经营活动产生的现金流量,,,
存放中央银行和同业款项净减少额,,"4,198",-
向中央银行借款净增加额,,"16,665","43,317"
吸收存款和同业存放款项净增加额,,"142,321","410,390"
拆入资金净增加额,,-,"14,710"
卖出回购金融资产款净增加额,,"26,572",-
收取利息、手续费及佣金的现金,,"250,268","248,110"
为交易目的而持有的金融资产净减少额,,"46,465",-
收到其他与经营活动有关的现金,50,"24,960","53,673"
经营活动现金流入小计,,"511,449","770,200"
存放中央银行和同业款项净增加额,,-,"(21,405)"
发放贷款和垫款净增加额,,"(163,664)","(332,903)"
拆出资金净增加额,,"(62,701)","(52,697)"
拆入资金净减少额,,"(8,123)",-
买入返售金融资产净增加额,,"(1,470)","(2,018)"
为交易目的而持有的金融资产净增加额,,-,"(45,207)"
卖出回购金融资产款净减少额,,-,"(34,333)"
支付利息、手续费及佣金的现金,,"(83,757)","(75,702)"
支付给职工及为职工支付的现金,,"(21,975)","(21,433)"
支付的各项税费,,"(31,156)","(27,281)"
支付其他与经营活动有关的现金,51,"(64,643)","(23,742)"
经营活动现金流出小计,,"(437,489)","(636,721)"
经营活动产生的现金流量净额,,"73,960","133,479"
