项目,2019年,2018年,同比增减
经营活动现金流入小计,"6,908,174,977.79","6,224,177,566.40",10.99%
经营活动现金流出小计,"6,516,784,620.19","5,735,064,899.20",13.63%
经营活动产生的现金流量净额,"391,390,357.60","489,112,667.20",-19.98%
投资活动现金流入小计,"189,393,455.43","610,614,007.21",-68.98%
投资活动现金流出小计,"746,784,321.24","926,951,400.67",-19.44%
投资活动产生的现金流量净额,"-557,390,865.81","-316,337,393.46",76.20%
筹资活动现金流入小计,"140,000,000.00","70,000,000.00",100.00%
筹资活动现金流出小计,"205,361,096.49","130,786,347.62",57.02%
筹资活动产生的现金流量净额,"-65,361,096.49","-60,786,347.62",7.53%
现金及现金等价物净增加额,"-231,363,596.91","112,424,633.26",-305.79%
